ID,governorate,age,name,gender
78,Damietta,64,Jeremy Goodwin,0
79,Alexandria,46,Emily Atkins,0
80,Ismailia,42,Cassandra Baldwin,1
81,Sharkia,44,Christine Kennedy,1
82,Qaliubiya,47,Darren Brown,0
83,Beheira,74,Laura Burnett,0
84,Luxor,63,Christina Wood,0
85,New Valley,59,Gina Kennedy,0
86,Matrouh,51,Perry Cameron,0
87,Giza,44,Gregg Lee,1
88,New Valley,19,Alexis Powers,1
89,Sharkia,31,Roger Neal,1
90,Sohag,75,Mary Castro,1
91,Qaliubiya,60,Matthew Franklin,1
92,Beni Suef,47,Jay Williams,0
93,Fayoum,47,Anthony Rivera,1
94,Luxor,38,Natasha Adams,0
95,Ismailia,63,Teresa Hernandez,0
96,Cairo,40,Benjamin Grant,0
97,Luxor,34,Mary Vasquez,1
98,Beheira,41,Kimberly Goodman,1
99,Beheira,52,Bradley Shelton,0
100,Suez,45,Alexandra Chapman,1
101,Red Sea,70,Lori Mcgee,0
102,Red Sea,71,Jody Thomas,1
103,Matrouh,77,Kathleen Rodriguez,1
104,Gharbiya,70,Michelle Cooper,0
105,Damietta,57,Keith Gonzalez,0
106,Matrouh,39,Angela Thompson,0
107,Port Said,24,Vicki Mckinney,0
108,Sohag,64,Justin Neal,0
109,New Valley,21,Joel Mitchell,1
110,Sohag,62,Amber White,1
111,Dakahlia,76,Chad Coleman,1
112,Luxor,76,Amy Davis,1
113,Damietta,29,Joshua Lambert,0
114,Gharbiya,40,Gary Harding,0
115,Assiut,28,Dean Thomas,0
116,Red Sea,47,Kendra Martinez,0
117,Qaliubiya,49,Willie Thomas,0
118,Beni Suef,76,Paul Brown,1
119,Sharkia,25,Dylan Erickson,1
120,Port Said,49,Alison Ramirez,0
121,Ismailia,48,Terry Miller,1
122,Luxor,34,Briana Holland,0
123,Minya,47,Monica Williams,1
124,North Sinai,49,Joseph Reyes,1
125,Minya,49,Sandra Ward,1
126,Matrouh,41,Jennifer Miles,0
127,Matrouh,64,Jennifer Mcdowell,1
128,Beni Suef,62,William Quinn,1
129,Ismailia,56,Chris Jones,1
130,Fayoum,48,Patrick Smith,1
131,Dakahlia,59,Nicole Butler,0
132,Matrouh,31,Kelly Ortega,1
133,North Sinai,53,Yvonne Stafford,1
134,Beheira,32,Kelly Cooper,1
135,Luxor,79,Brian White,1
136,Beni Suef,46,Mr. Michael Mason MD,1
137,Qaliubiya,46,Patricia Rodriguez,0
138,Dakahlia,71,Eric Branch,1
139,Dakahlia,52,Calvin Turner,0
140,Damietta,60,Janet Collins,1
141,Menofia,32,Monica Gutierrez,0
142,Beni Suef,23,Robert Oneill,1
143,Red Sea,80,James Sanders,0
144,Beni Suef,52,Catherine Malone,0
145,Fayoum,29,Curtis Smith,1
146,Kafr Al sheikh,23,Dr. Tyler Armstrong,1
147,Kafr Al sheikh,53,Pamela Farrell,1
148,Damietta,32,Morgan Estrada,0
149,New Valley,44,Glen Villanueva,1
150,Gharbiya,48,Melissa Hampton,1
151,Assiut,34,Matthew Bishop,1
152,Cairo,73,Robert Hammond,0
153,Qena,26,Patricia Williams,0
154,Ismailia,77,David Munoz,1
155,Matrouh,71,Isabella Wolfe,0
156,Dakahlia,33,Jonathan Bennett,0
157,Aswan,20,Eric Nelson,1
158,North Sinai,60,Courtney Martinez,0
159,Kafr Al sheikh,79,Anthony Scott,0
160,Fayoum,65,Dana Neal,1
161,Ismailia,30,Danielle Bailey,0
162,Luxor,79,Andrew Adams,0
163,Luxor,76,Heather Brown,1
164,Beheira,55,Lynn Harris,0
165,Giza,47,Mark Carter,1
166,Fayoum,38,Kayla Hall,1
167,Cairo,47,Courtney Smith,1
168,Qaliubiya,44,Ashley Reed,1
169,Minya,57,Regina Hodges,1
170,New Valley,38,Zachary Phillips,0
171,Fayoum,70,Michael Ortiz,1
172,Port Said,54,Alice Robertson,0
173,New Valley,44,Kristin Fuentes,1
174,Beheira,47,Walter Wallace,0
175,Fayoum,18,Brian Walters,0
176,Qena,57,Jeffrey Moon,1
177,Kafr Al sheikh,19,Brandon Moore DVM,0
178,New Valley,72,Thomas Smith Jr.,0
179,Assiut,51,Russell Smith,0
180,Minya,46,Douglas Swanson,0
181,South Sinai,34,Kevin Morrison,0
182,Damietta,49,Joshua Sparks,0
183,South Sinai,57,Kathy Lee,1
184,Alexandria,80,Ryan Vazquez,1
185,Gharbiya,30,Donna Matthews,1
186,Ismailia,57,Kevin Oconnor,0
187,Giza,38,Caitlin Weber,1
188,Minya,23,Dr. Christina Craig,1
189,New Valley,45,Charles Brown,1
190,Qena,29,Danielle Mercado,1
191,Sharkia,54,Jacob Martin,0
192,Qaliubiya,27,Gary Hartman,1
193,New Valley,35,Jamie Parsons,0
194,Red Sea,72,Karen Ramos,0
195,Sohag,41,Timothy Gomez,1
196,Port Said,35,Drew Dougherty,0
197,Beni Suef,20,Craig Lawson,0
198,Red Sea,43,Mandy Garcia,1
199,Sohag,47,Stephanie Thomas,0
200,Port Said,37,Danielle Rogers,1
201,Sohag,73,Jorge Haynes,0
202,Minya,73,Frank Benson,1
203,Sharkia,69,Brian Chandler,1
204,Luxor,51,Kimberly Garcia,0
205,Ismailia,49,Angela Simpson,0
206,South Sinai,29,Micheal Thompson,1
207,Suez,36,Amy Golden,0
208,South Sinai,68,Matthew Harrison,0
209,Qaliubiya,64,Kelly Hansen,1
210,Damietta,49,Robert Rhodes,1
211,Damietta,73,Edward Jones,1
212,Cairo,70,Jeffrey Watson,0
213,North Sinai,73,Stephanie Black,1
214,North Sinai,52,Erin Mullen,0
215,Aswan,77,Kenneth Parker,0
216,Menofia,73,Stephanie Kennedy,1
217,New Valley,62,Dylan Lang,1
218,Dakahlia,53,Jacob Vazquez,1
219,South Sinai,60,Amanda Long,1
220,Aswan,24,Christina Hunter,0
221,North Sinai,71,Sean Williams,1
222,Fayoum,70,Aimee Walker,1
223,New Valley,65,Robert Davis,0
224,Cairo,78,Karen Hart,0
225,Damietta,79,James Mcintosh,1
226,Matrouh,53,Dorothy Jones,0
227,Assiut,71,Timothy Gray,1
228,Beni Suef,62,Mark Gonzales,0
229,Port Said,19,Veronica Banks,1
230,Qena,54,Stephanie Palmer,0
231,Qena,52,Robert Gibson,1
232,Suez,72,James Pope,1
233,South Sinai,72,Leah Erickson,0
234,Assiut,70,Garrett Young,0
235,Beheira,42,Steven Carpenter,1
236,Kafr Al sheikh,29,Tammy Harrison,0
237,Dakahlia,57,Justin Harper,1
238,Kafr Al sheikh,40,Howard Aguilar,0
239,Port Said,39,Jessica Romero,1
240,North Sinai,57,Michael Boone,0
241,North Sinai,52,Edward Horn,0
242,Minya,21,Heather Roman,1
243,Qena,72,Anthony Fletcher,0
244,South Sinai,38,Michael Hunter,0
245,Menofia,35,Brian Marks,1
246,Menofia,61,Janice Sharp,0
247,New Valley,22,Christina Forbes,0
248,Suez,30,Jeffrey Price,0
249,Qena,36,James Calhoun,1
250,Gharbiya,67,Sean Kelly,0
251,Aswan,23,Donna Taylor,1
252,Damietta,46,Michael Newton,0
253,Matrouh,37,Rebecca Perez,0
254,Qaliubiya,78,Sharon Edwards,1
255,Minya,53,Timothy Cooper,1
256,Matrouh,21,Henry Webb,1
257,Giza,67,Richard Dodson,1
258,Port Said,19,Stephanie Anthony,0
259,South Sinai,39,Susan Harris,0
260,Fayoum,26,Jacqueline Decker,0
261,Minya,24,Dylan Rhodes,1
262,Assiut,33,Michele Farley,1
263,Suez,41,Carolyn Dalton,0
264,Damietta,28,Dylan Delgado,0
265,Port Said,34,Christine Fuentes,0
266,Aswan,32,Chad Martinez,1
267,Menofia,29,Linda Sanchez,1
268,Menofia,28,Rebecca Spencer,0
269,Giza,25,Brittany Burns,0
270,Suez,61,Lori Pearson,0
271,Alexandria,63,Cassandra Jordan,1
272,Beni Suef,75,Henry Fitzpatrick,0
273,South Sinai,49,Shelly Rodriguez,1
274,North Sinai,68,Victoria Cortez,0
275,Assiut,35,David Schmidt,1
276,Assiut,58,Gerald Lewis,0
277,Port Said,57,Michael Lee,1
278,Beheira,51,Dr. Megan Cardenas,1
279,Port Said,50,Monica Davis,0
280,Ismailia,31,Rick Phillips,0
281,Beheira,26,Dylan Smith,0
282,Aswan,39,Jose Hardy,0
283,Red Sea,74,Johnny Fletcher,0
284,Matrouh,63,Cynthia Norman,1
285,New Valley,47,Christine Davis,1
286,Matrouh,70,Brendan Moreno,1
287,Beheira,65,Amanda Mitchell,0
288,Sohag,23,Charles Scott,1
289,New Valley,58,Wanda Lopez,0
290,Aswan,48,Julie Drake,1
291,Beheira,57,Miss Rebecca Parker,1
292,Matrouh,75,Kyle Cook,1
293,Alexandria,74,Joseph Carter,1
294,Cairo,70,Nicole Smith,0
295,Matrouh,58,Lance Burton,0
296,Assiut,61,Carlos Jones,0
297,Port Said,25,Julie Sanders,1
298,Giza,52,Philip Richmond,1
299,Aswan,43,Paul Ball,0
300,Sohag,23,Megan Avery,0
301,Cairo,68,Ashley Moore,1
302,North Sinai,71,Michelle Gutierrez,0
303,Matrouh,80,Shannon Compton,1
304,Fayoum,78,Amanda Shelton,1
305,Giza,61,Angela Frey,0
306,Port Said,24,Ms. Laurie Shaw,1
307,Minya,38,Shawn Fuller,1
308,Aswan,77,Barry Daniels,1
309,Beni Suef,59,Sophia Stewart,1
310,Alexandria,24,Valerie Parker,1
311,Menofia,20,John Acosta,0
312,Beheira,47,Brandon Mccullough,1
313,Qena,70,Samuel Jones,0
314,Giza,68,Natalie Richard,0
315,Luxor,21,Jeffrey Lowe,1
316,Fayoum,60,Diane Robinson,1
317,Beheira,75,Margaret Garrett,1
318,Damietta,60,Xavier Thompson,0
319,Port Said,36,Karen Garcia,1
320,Sohag,68,Robert Aguilar,0
321,Menofia,65,Jennifer Harper,0
322,Sohag,32,Karen Wells,0
323,Luxor,63,Vickie Vazquez,0
324,Sohag,29,Lisa Estrada,0
325,Aswan,54,Rhonda Barrett,0
326,Red Sea,65,Elizabeth Moran,0
327,Kafr Al sheikh,44,Nathan Garcia,1
328,Sohag,76,Robert Pierce,1
329,Beheira,76,Alison Boyd,1
330,Alexandria,69,David Travis,0
331,Alexandria,51,Aaron Garza,0
332,Matrouh,36,Curtis Stephens Jr.,0
333,Alexandria,27,Lisa Lewis,0
334,Cairo,31,Ian Simon,0
335,Matrouh,49,Sara Benton,1
336,Qaliubiya,52,Faith Carroll,0
337,Minya,72,Andrew Martinez Jr.,1
338,Damietta,76,Mr. Daniel Calderon,0
339,Kafr Al sheikh,77,Hannah Thomas,0
340,Sharkia,37,Miguel Cabrera,1
341,Port Said,40,Jessica Curtis,0
342,Aswan,47,Jennifer Blair,1
343,Ismailia,52,Joshua Valenzuela,1
344,Alexandria,31,Lindsay Turner,1
345,Kafr Al sheikh,59,Danielle Weiss,1
346,Red Sea,36,Miss Patricia Vasquez MD,1
347,Beheira,18,Carl Pruitt,0
348,Giza,72,William Allen,1
349,Matrouh,61,Mark Guzman,1
350,Giza,27,James Fletcher,0
351,Suez,80,Jessica Perez,0
352,North Sinai,50,Shannon Pruitt,0
353,Kafr Al sheikh,50,Robert Welch,0
354,Fayoum,59,Tracie Mitchell,0
355,Qaliubiya,35,Logan Reyes,0
356,Alexandria,28,Deanna Graves,1
357,South Sinai,69,Stacey Robinson DVM,0
358,Qaliubiya,19,Jennifer King,0
359,Assiut,62,Ann Dawson,1
360,Giza,58,Elizabeth Taylor,0
361,Minya,80,Scott Elliott,0
362,Port Said,44,Alyssa Evans,0
363,Matrouh,28,Jaime Scott,0
364,Gharbiya,77,Melinda Mccann,1
365,New Valley,26,Laura Roberts,1
366,Ismailia,74,Frank Warren,0
367,Aswan,63,Paul Clark,1
368,Damietta,43,Alex Foster,0
369,Luxor,19,Catherine Johns,1
370,South Sinai,57,Antonio Mccarthy,1
371,Ismailia,79,Eric Mayer,1
372,Red Sea,32,Theresa Horton,0
373,Assiut,28,Tammy Silva,0
374,New Valley,80,Kenneth Campbell,0
375,Matrouh,39,Andrew Smith,0
376,Fayoum,73,Jason Barnett,1
377,Red Sea,25,Emily Singh,0
378,Port Said,20,Regina Bennett,1
379,Dakahlia,35,Joseph Werner,0
380,Minya,44,Daniel Duncan,0
381,Suez,69,Robert Hammond,0
382,Giza,77,Nicholas Gallagher,1
383,Giza,32,Angela Bradley,1
384,Menofia,66,Dr. Robert Gonzalez MD,1
385,Gharbiya,50,Mrs. Andrea Holmes,0
386,New Valley,67,Nicole Hamilton,1
387,Dakahlia,23,Catherine Gentry,1
388,Beni Suef,46,Jodi Garcia,1
389,Beheira,27,Monique Becker,1
390,Minya,50,Lauren Grant,1
391,Beni Suef,61,John Owens,1
392,Damietta,44,Kevin Hall,1
393,Port Said,37,Joshua Mcgrath,1
394,Kafr Al sheikh,26,Tyler Bell,1
395,Aswan,72,Toni Chen,1
396,Port Said,32,Andre Salinas,0
397,North Sinai,25,Juan Ortiz,0
398,Alexandria,75,Melissa Wilson,0
399,Kafr Al sheikh,71,Richard Jones,1
400,Kafr Al sheikh,75,Teresa Woods,1
401,Red Sea,31,Alexandra Mcdaniel,0
402,Qena,71,Natasha Berry,1
403,Giza,35,Samantha Berry,0
404,Ismailia,42,Christopher Hughes,1
405,Suez,28,Tiffany Duffy,0
406,Alexandria,45,Eric Holden,0
407,Dakahlia,64,Zachary Sullivan,1
408,South Sinai,69,Dr. Amanda Barnes,0
409,Giza,24,Susan Brown,0
410,New Valley,30,Matthew Frye,1
411,Red Sea,62,Kristin Fuentes,1
412,Matrouh,73,Mary Collins,1
413,Suez,52,Lacey Frost,0
414,South Sinai,65,Benjamin Rosario,1
415,Fayoum,64,Jennifer Mann,1
416,Luxor,52,Thomas Alexander,0
417,Gharbiya,58,Matthew Parker,1
418,Minya,76,Katrina Conner,0
419,South Sinai,50,Kristina Davis,1
420,Gharbiya,21,Dr. William Jacobs,1
421,Qaliubiya,19,Robin Kaiser,0
422,Ismailia,59,Amber Smith,1
423,North Sinai,57,Dalton Alexander,0
424,Aswan,70,Jim Hobbs,0
425,Sharkia,70,Gina Williams,0
426,Alexandria,77,George Scott,0
427,Gharbiya,70,Holly Howard,0
428,North Sinai,42,Sarah Thomas,0
429,South Sinai,58,Elizabeth Villa,1
430,Matrouh,36,Vincent Jones,1
431,Alexandria,62,Christopher Larson,1
432,Menofia,79,Rebecca Little,1
433,Alexandria,35,Theresa Anderson,1
434,Red Sea,71,Tony Martin,0
435,Menofia,19,Cynthia Trujillo,0
436,Kafr Al sheikh,29,Sandra Turner,0
437,Minya,52,Diane Hunter,0
438,Beni Suef,64,Jared Poole,0
439,Damietta,38,Edwin Davenport,0
440,Sohag,68,Sara Holloway,0
441,Qena,49,Carrie Rodriguez,0
442,Ismailia,40,Elizabeth Atkinson,0
443,Sohag,42,Daniel Evans,1
444,North Sinai,51,Thomas Smith Jr.,0
445,Damietta,43,Kyle Jones,1
446,North Sinai,74,Jennifer Wolfe,0
447,Ismailia,52,Harry Miller,1
448,South Sinai,58,Karina Hernandez,0
449,North Sinai,63,Edward Jones,1
450,Matrouh,54,Sheryl King,1
451,Giza,78,Priscilla Bowman,0
452,Fayoum,60,Angela Miller,0
453,Damietta,48,Chelsea Allison,0
454,Kafr Al sheikh,61,Maria Taylor,1
455,Minya,20,Katherine Watts,1
456,Qaliubiya,58,Richard Zamora,1
457,Suez,55,Derek Thomas,1
458,Menofia,67,Stephanie Russell,1
459,Suez,71,Joshua Walker,1
460,New Valley,31,Ethan Santiago,0
461,Minya,22,Christopher Anderson,1
462,Luxor,29,Michael Rollins,1
463,Fayoum,31,William Brown,0
464,Beni Suef,79,Karen Wolfe,0
465,Assiut,44,Karen Horn,0
466,Damietta,47,Jennifer Cohen,0
467,Matrouh,27,Patricia Krueger,1
468,Giza,66,Micheal King,0
469,Suez,43,Angela Thomas,1
470,Minya,29,Ronnie Williams,0
471,North Sinai,69,Christie Garcia,1
472,Red Sea,50,Joseph Rasmussen,0
473,Kafr Al sheikh,80,Heather Fernandez,1
474,Port Said,32,Scott Weber,1
475,New Valley,45,Derek King,0
476,Matrouh,35,Rick Rojas,1
477,Aswan,39,Travis Davis,1
478,Alexandria,52,Justin Sanchez,0
479,Giza,69,Patrick Mendez,0
480,Matrouh,79,Jeffrey Tucker,0
481,Red Sea,60,Monica Gutierrez,1
482,Sohag,34,Debra Hunt,0
483,Port Said,30,Jill Oneill,0
484,Red Sea,19,Nicholas Bowers,1
485,Sharkia,74,Bethany Orozco,1
486,Ismailia,31,Douglas White,1
487,Beni Suef,59,David Sullivan,1
488,Ismailia,22,Brandon Wade,1
489,Cairo,35,Andrew Flores,1
490,Damietta,27,Sean Beck,1
491,Aswan,28,Fernando Howe,1
492,Suez,20,Natalie Allen,0
493,Sohag,60,Nicole Mcintosh,1
494,Dakahlia,54,Angela Bonilla,0
495,Beni Suef,44,Kara Grant,1
496,Qena,72,Curtis Stephens Jr.,1
497,Matrouh,19,Adam Thompson,0
498,Luxor,52,Laura Stone,0
499,Port Said,63,Larry Sampson,0
500,Alexandria,22,Pamela Ryan,0
501,Giza,39,Stacy Becker,1
502,New Valley,56,Stephen Harris,1
503,Matrouh,34,Joshua Mccullough,0
504,Dakahlia,33,Tara Lyons,0
505,Kafr Al sheikh,21,William Archer,1
506,Sharkia,64,Emily Fleming,1
507,Luxor,27,Patricia Vargas,1
508,Alexandria,47,Michelle Booth,0
509,Qaliubiya,19,Deborah Lee,0
510,Suez,21,Alejandro King,0
511,Ismailia,39,James White,1
512,Luxor,54,Dr. Joseph Griffin,0
513,North Sinai,60,Sara Sullivan,0
514,Fayoum,69,Margaret Howell,1
515,South Sinai,31,Bradley Reyes,1
516,Beheira,58,Ryan Moore,0
517,Beheira,23,Sandy White,1
518,Beheira,49,Xavier Thompson,0
519,Beheira,39,Lynn Torres,0
520,Damietta,55,Tracy Morales,1
521,Alexandria,33,James Hernandez,0
522,Qaliubiya,64,Amanda Sandoval,0
523,Alexandria,80,William Castro,1
524,Giza,80,Christopher Jacobs,1
525,Kafr Al sheikh,21,Lauren Thomas,0
526,Aswan,26,Joshua Fry,0
527,Giza,57,Mrs. Cheryl Long MD,1
528,New Valley,31,Karen Brooks,1
529,Qena,80,Ariel Clark,0
530,Qaliubiya,24,Mr. Antonio Davis DDS,0
531,Sharkia,41,Gabriel White,1
532,Minya,70,Gary Duncan,1
533,Matrouh,34,George Martinez,1
534,South Sinai,31,Timothy Alexander,1
535,Luxor,73,John Patel,0
536,Dakahlia,62,Mary Burns,0
537,Sharkia,70,Scott Hart,1
538,Minya,60,Jonathan Quinn,1
539,Sharkia,64,Jeffrey Johnston,0
540,Beheira,73,Margaret Patton,0
541,New Valley,30,Justin Anderson,1
542,Alexandria,66,Adam Parker,0
543,Beheira,22,Mathew Scott,0
544,Dakahlia,74,Elizabeth Mitchell,1
545,Port Said,30,Andrew Dean,0
546,Assiut,60,Shelia Chandler,0
547,Qena,47,Paul Powell,1
548,Giza,32,Brittney Dixon,0
549,Kafr Al sheikh,44,David Dawson,0
550,Ismailia,73,Bethany Green,1
551,Cairo,44,Robert Moss,1
552,Alexandria,40,Charles Diaz,1
553,Port Said,30,Catherine Gray,0
554,Cairo,59,Kayla Tate,1
555,Cairo,31,Kenneth Jenkins,1
556,Ismailia,41,Miranda Dixon,0
557,Menofia,50,James Alexander,0
558,Luxor,27,Robert Burton,1
559,Giza,49,James Sanders,0
560,Suez,54,Jacqueline Green,1
561,Luxor,70,Ashley Ballard,0
562,Cairo,71,Brady Page,0
563,South Sinai,74,Curtis White,0
564,Red Sea,46,Alyssa Whitehead,1
565,Alexandria,23,Brandon Gaines,1
566,Minya,29,Amy Henry,0
567,Damietta,64,Robert Davis,0
568,Minya,23,Jacob Ellis,0
569,Luxor,62,Suzanne Skinner,1
570,North Sinai,78,Douglas Johnson,0
571,North Sinai,77,Danny Rodriguez,0
572,Aswan,51,James Arias,0
573,Assiut,18,Barry Nunez,0
574,Aswan,42,Sara Green,0
575,Aswan,73,Brandon Parker,0
576,Aswan,75,Melanie Allen,1
577,Beheira,67,Victoria Franco,1
578,Beheira,35,Justin Neal,1
579,Luxor,69,James Blake,0
580,Suez,70,Bill Richardson,0
581,Damietta,41,Daniel Foster,1
582,Minya,52,Holly Williams,0
583,Red Sea,27,Carla Williams,0
584,Fayoum,28,Wendy Taylor,1
585,Giza,54,Debbie Thompson,0
586,Port Said,77,Deborah Thomas,0
587,North Sinai,75,David Dawson,1
588,Beni Suef,74,Gary Edwards,0
589,New Valley,43,Jessica Wilson,0
590,Assiut,35,Jonathan Olsen,1
591,Luxor,32,Teresa Pearson,1
592,Damietta,31,Andrew West,0
593,Matrouh,46,Rebecca Macdonald,0
594,Sohag,56,Gerald Perez,1
595,Qena,27,Michele Johnson,1
596,Luxor,28,Edward Bush,0
597,Qena,68,Jessica Gonzalez,0
598,Sharkia,64,Angela Sanchez,0
599,Red Sea,22,Kim Ramos,0
600,Giza,79,Christina Sullivan MD,0
601,Alexandria,23,Stacey Lucero,0
602,Damietta,40,Sherry Stone,0
603,Red Sea,19,Tracy Adams,0
604,Port Said,66,Bridget Walker,0
605,Sohag,54,Mike Tran,1
606,Alexandria,44,Shelley Alvarez,0
607,Dakahlia,69,Glenda Brooks,0
608,Giza,49,Patrick Dunn,0
609,Menofia,50,Natalie Allen,0
610,Qaliubiya,43,Alicia Johnston MD,0
611,Suez,19,Clinton Guzman,0
612,Alexandria,66,Christopher Kelley,1
613,Red Sea,65,Kristin Robles,1
614,Red Sea,49,Samantha Cook,1
615,Port Said,74,Jose Petersen,0
616,Beni Suef,64,Sean Price,1
617,New Valley,53,Becky Williams,0
618,Dakahlia,57,Michelle Smith,0
619,Matrouh,33,Edwin Moody,1
620,Fayoum,19,Laura Stein,0
621,Cairo,47,William Edwards,0
622,Port Said,23,Johnny Jacobson,1
623,Sohag,76,Kevin Lee,0
624,Menofia,20,Jared Smith,0
625,Qaliubiya,74,Amanda Ellis,1
626,Qaliubiya,75,David Allen,0
627,Dakahlia,39,Roger Neal,0
628,Menofia,23,Andrew Garza,0
629,Gharbiya,51,Keith Aguilar,0
630,Suez,79,Debbie Lee,1
631,Ismailia,66,Margaret Rice,0
632,Assiut,77,Hannah Barron,0
633,Damietta,31,John Padilla,1
634,Luxor,67,Derrick Murphy,0
635,Luxor,43,Travis Reynolds,1
636,Assiut,23,Lindsay Turner,0
637,Alexandria,62,Heather Khan,0
638,Port Said,66,Jennifer Flores,0
639,Dakahlia,74,Jon Martin,0
640,Aswan,31,Dylan Bush,1
641,Luxor,53,Jeffrey Macias,0
642,Fayoum,19,Hannah Gomez,1
643,Luxor,67,Ashley Franklin,1
644,Giza,28,Cindy Rodriguez,1
645,Sohag,48,Amy Summers,1
646,Aswan,23,Charles Vincent,0
647,Gharbiya,64,Theresa Wood,1
648,Assiut,23,Elizabeth Garner,1
649,Beheira,61,Laurie Montgomery,1
650,Matrouh,51,Jason Daniels,1
651,Kafr Al sheikh,32,Kelly Salazar,1
652,Giza,50,Steven Anderson,0
653,Giza,49,Matthew Ramirez,1
654,Luxor,54,Carl Brown,1
655,Qaliubiya,40,Denise Robinson,0
656,Kafr Al sheikh,41,Emily Bradley,0
657,Ismailia,58,Ariana Morgan,0
658,Ismailia,60,Patricia Lyons,1
659,Dakahlia,71,Zachary Spears,0
660,Sharkia,33,Sean Garcia,0
661,Sohag,37,Ann Blevins,1
662,Alexandria,76,Kimberly Duncan,1
663,Luxor,38,James Ellis,1
664,Beheira,78,Laura Campbell,1
665,Gharbiya,43,James Mcintosh,0
666,Giza,52,Christina Hammond,1
667,Dakahlia,62,Tara Brooks,1
668,Qena,59,Nathan Mays,1
669,Red Sea,77,Kayla Mcclain,1
670,Fayoum,44,Colleen Sullivan,0
671,Sharkia,66,Michael Jordan,0
672,Red Sea,52,Harry Harper,1
673,Assiut,60,James Cunningham,0
674,Alexandria,20,Jacob Pena,0
675,South Sinai,24,Jessica Hanson,1
676,Kafr Al sheikh,33,Isabella Mosley,1
677,Sharkia,33,Timothy Miller,1
678,Cairo,24,Molly King,0
679,Beni Suef,54,Dr. Krystal Tanner,1
680,Sohag,62,Cindy Gray,1
681,Sohag,19,James Moore,1
682,Cairo,73,Wendy Frederick,1
683,Cairo,60,Douglas Cruz,0
684,Beheira,72,Willie Smith,1
685,Aswan,75,Keith Henderson,0
686,Sohag,70,Frederick Beard,1
687,Sohag,69,Christopher Patel,1
688,Port Said,48,Randy Rush,1
689,Cairo,75,Victoria Baker,1
690,Luxor,76,Jennifer Mccoy,0
691,Cairo,27,Roberto Gonzalez,1
692,Assiut,51,Kimberly Kelly,1
693,Menofia,39,Tanya Perez,1
694,Sharkia,55,Yolanda Holloway,1
