ID,governorate,age,name,gender
82,Red Sea,53,Megan Hodges,0
83,Aswan,26,Kevin White,0
84,Qaliubiya,25,Tina Garza,1
85,Beheira,20,Kevin Lawrence,1
86,Matrouh,54,Gary Hill,1
87,New Valley,50,Kristopher Coffey,1
88,Beni Suef,30,Henry Lang,1
89,Suez,57,Diane White,1
90,Gharbiya,75,Karina Arellano,1
91,Minya,45,James Cunningham,1
92,New Valley,48,John Fry,0
93,Red Sea,50,Gabriel White,1
94,Red Sea,52,Sandra Hill,0
95,Matrouh,68,Kyle Burns,1
96,Gharbiya,46,Paul James,0
97,New Valley,24,Deborah Chang,0
98,Damietta,32,Jacqueline Dennis,1
99,Assiut,78,Kathleen Williams,1
100,Alexandria,64,Valerie Stephens,1
101,Port Said,54,Jessica Ramirez,1
102,New Valley,57,Angela James,1
103,Matrouh,47,Barbara Garcia,0
104,Sohag,74,Isabella Chavez,1
105,Beheira,75,Sarah Chambers,1
106,South Sinai,38,Bethany Woods,0
107,Sharkia,28,Casey Randall,0
108,Beni Suef,77,James Morrow,0
109,Giza,29,Stephanie Mccullough,1
110,Kafr Al sheikh,78,Tom Torres,0
111,North Sinai,80,Mr. Jonathan Wong PhD,0
112,New Valley,71,Dr. Douglas Fox,1
113,Minya,68,Patricia Pena,0
114,Aswan,72,Molly Hill,0
115,Aswan,23,Tyler Petersen,0
116,Red Sea,31,Patricia Taylor,1
117,Gharbiya,60,Lauren Franco,0
118,Cairo,58,Caroline Fitzgerald,0
119,Dakahlia,73,Kathryn Moore,0
120,Beni Suef,20,Anthony Frye,1
121,Kafr Al sheikh,73,Andrea Bruce,1
122,Port Said,26,Erik Silva,1
123,Damietta,42,Jennifer Wilson,0
124,Matrouh,37,Harold Washington,1
125,Qaliubiya,68,Alicia Ross,0
126,Fayoum,72,James Woods,1
127,Damietta,64,Kevin Allen,0
128,Damietta,21,Timothy Mcdonald,1
129,Beheira,19,Anna Acevedo,1
130,Aswan,46,Steven Lopez,1
131,Giza,31,Sherri Moore,0
132,New Valley,20,Lisa Carroll,0
133,Ismailia,46,Toni Chen,0
134,Menofia,72,Amanda Schmidt,1
135,Gharbiya,34,Bonnie Johnson,1
136,Damietta,44,Dr. Erika Smith,1
137,Sohag,64,Barry Lee,1
138,Cairo,20,Natasha Romero,1
139,Alexandria,37,Jesus Barnes,1
140,Port Said,63,Brenda Flynn,1
141,South Sinai,47,Lisa Keller,0
142,Suez,53,Katherine Obrien,0
143,Suez,41,Stephanie Sullivan,1
144,Gharbiya,39,Derrick Williams,0
145,Assiut,55,Jennifer Roberson,0
146,Ismailia,57,Rhonda Williams,1
147,Matrouh,20,Samuel Black,1
148,Alexandria,79,Connie Martin,1
149,Beheira,23,Crystal Evans,0
150,New Valley,23,Chad Patterson,1
151,Damietta,78,Christopher Arnold,0
152,North Sinai,62,David Barrett,1
153,Dakahlia,30,Roy Hodges,1
154,Damietta,72,Johnny Brandt,0
155,Qena,36,Jennifer Mcmillan,1
156,Giza,55,Glen Le,1
157,New Valley,36,Eric Moore,0
158,Kafr Al sheikh,71,Mike Hall,0
159,Damietta,42,Amy Gutierrez,0
160,Dakahlia,19,Monica Ryan,1
161,Ismailia,68,Vanessa Murray,1
162,Sharkia,43,Barry Booker,0
163,Luxor,21,Lindsey Palmer,0
164,Cairo,27,Felicia Cabrera,0
165,Gharbiya,70,Jaime Rogers,0
166,Minya,23,Brian Williamson,1
167,Beni Suef,78,Catherine Rodriguez,0
168,Minya,65,Andrew Martinez Jr.,0
169,Qena,69,Anne Martin,1
170,Assiut,48,Kimberly Cabrera,0
171,Beni Suef,59,Diane Kemp,1
172,Ismailia,55,Cassandra Scott,0
173,Sohag,35,Garrett Reid,0
174,Red Sea,67,Justin Robles,0
175,Damietta,29,James Robinson,1
176,Minya,24,Jimmy Vazquez,0
177,North Sinai,34,Morgan Roman,0
178,New Valley,62,Linda Armstrong,0
179,Dakahlia,48,Mrs. Sarah White,0
180,Luxor,73,Andrea Williamson,0
181,Damietta,50,Sarah Berry,0
182,Aswan,74,Eric Morris,0
183,Alexandria,47,Alyssa Evans,0
184,Aswan,62,Dennis Sexton,0
185,Matrouh,23,Edward Jones,0
186,Port Said,54,Michael Rivera,1
187,Alexandria,64,Richard Little,0
188,Port Said,40,Amber Hodge,1
189,North Sinai,37,Peter Wilkinson,1
190,Matrouh,48,Joshua Sutton,0
191,Fayoum,40,Ronnie Leonard,1
192,Minya,47,Susan Johnson,0
193,Assiut,33,Charles Farmer,1
194,North Sinai,33,Miguel Cabrera,0
195,Alexandria,35,Shannon Walsh,0
196,Assiut,66,Kim Montes,0
197,Cairo,55,Alexis Ellis,1
198,Port Said,18,Jennifer Weaver,1
199,Ismailia,24,Sheila Guzman,0
200,Gharbiya,57,Steven Bates,0
201,Luxor,20,Monica Boyd MD,1
202,Beheira,35,Nicholas Medina DDS,1
203,Dakahlia,66,Tina Butler,1
204,Dakahlia,45,Tracy Duran,1
205,North Sinai,50,Timothy Weiss,0
206,North Sinai,61,Matthew Short,0
207,Kafr Al sheikh,64,Stacy Torres,0
208,North Sinai,24,Kristen Richardson,1
209,Dakahlia,44,Denise Mcdonald,1
210,Qena,73,Charles Lawrence,0
211,Kafr Al sheikh,54,Jesse Johnson,0
212,Giza,21,Connie Martin,1
213,Damietta,57,David Owens,0
214,Menofia,22,John Medina,1
215,Gharbiya,21,Patrick Logan,0
216,Damietta,77,Abigail James,0
217,Sohag,69,James Myers,1
218,Sohag,18,Steven Greene,1
219,Luxor,27,Elizabeth Cole,0
220,New Valley,63,Terri Fowler,0
221,Ismailia,79,John Turner,1
222,Menofia,27,Ariel Lewis,1
223,Damietta,71,Michael Gomez,1
224,Red Sea,79,Brian Castro,1
225,Damietta,80,Carol Dixon,1
226,Cairo,73,Debbie Hamilton,1
227,Menofia,72,James Sanders,0
228,Beni Suef,30,Dr. Tammy Jones,0
229,Giza,64,Robin Hicks,1
230,Sohag,20,Jeffrey Hays,0
231,Red Sea,47,Ronald Simon,0
232,Luxor,50,Jamie Bradford,0
233,Sohag,20,Stephen Wu,1
234,Damietta,37,Ashley Johnson,1
235,Port Said,36,Juan Mitchell,1
236,Sohag,66,Bradley Reyes,1
237,Beni Suef,72,Anna Grant,1
238,Gharbiya,20,Anthony Hernandez,0
239,Gharbiya,79,Penny Osborne,1
240,Aswan,58,Melanie Matthews,0
241,Minya,28,Shawn Stewart,1
242,Kafr Al sheikh,36,Terry Jackson,1
243,Cairo,76,Marc Miller,0
244,North Sinai,49,Carrie Conner,1
245,Qaliubiya,36,Greg Moore,0
246,Matrouh,67,Jeremy Casey,1
247,Damietta,51,Jacqueline Parker,0
248,Qena,69,Allen Delgado,0
249,Aswan,68,Peter Wilkinson,0
250,Port Said,49,Juan Gonzalez,0
251,Cairo,35,Jonathan Hernandez,0
252,New Valley,35,Mr. Billy Chapman,0
253,Qena,70,John Joseph,0
254,Ismailia,62,Shirley Howard,0
255,Qaliubiya,33,Caitlin Gray,0
256,Port Said,33,Steven Ramos,0
257,Cairo,19,Chelsea Wilson,1
258,New Valley,43,Susan Anderson,1
259,Sharkia,48,Debra Zamora,0
260,Red Sea,80,Douglas Smith,1
261,Sharkia,45,Dr. Lauren Patrick,1
262,Beheira,42,Jennifer Hodges,1
263,Ismailia,51,Mr. Terry Smith DVM,0
264,Dakahlia,72,David Townsend,0
265,Sohag,34,Dr. Michael Blankenship,1
266,Damietta,51,Madeline Morrison,0
267,Suez,77,Ariel Clark,0
268,Kafr Al sheikh,78,David Duncan,0
269,Matrouh,37,Bryan Flores,0
270,South Sinai,45,Benjamin Everett,1
271,Sohag,43,Gregory Fuller,1
272,Minya,41,Stacey Burnett,0
273,Beheira,41,Mathew Deleon,0
274,Ismailia,61,Nicole Sanchez,1
275,Cairo,56,Anthony Jacobs,1
276,Assiut,78,Bryan Dominguez,1
277,Fayoum,47,Daniel Gordon,0
278,Aswan,70,Anna Crawford,0
279,Alexandria,66,Matthew Thomas,0
280,Beni Suef,65,Eric Branch,0
281,Fayoum,67,Deborah Murphy,1
282,Minya,56,Shaun Franklin,1
283,Sharkia,37,John Reed,0
284,Sharkia,19,Megan Strong,1
285,Damietta,37,Yesenia Lopez,0
286,Alexandria,59,Jose Hardy,0
287,Luxor,50,William Tyler,0
288,Sohag,64,Margaret Park,0
289,Qaliubiya,35,Joseph Heath,0
290,Damietta,54,Melissa Thompson,0
291,Giza,28,Fernando Howard,1
292,Sohag,19,Robert Mullen,1
293,Dakahlia,80,Debra Nash,0
294,Kafr Al sheikh,65,Henry Mclaughlin,1
295,Giza,58,Hannah Leon,1
296,Gharbiya,74,Michele Simmons,0
297,Aswan,58,Janet Moss,1
298,Qena,76,Karen Berg DVM,0
299,Aswan,40,Willie Pruitt,0
300,Giza,45,Shane Bowen,1
301,Beni Suef,74,Antonio Thompson,0
302,Beni Suef,18,Ann Fry,0
303,Matrouh,22,Joseph Thompson,1
304,Dakahlia,27,Jeffrey Hays,1
305,Giza,34,Jose Rivera,1
306,Damietta,72,Haley Lee,1
307,Sharkia,54,Lynn Long,0
308,South Sinai,75,Katherine Salas,0
309,South Sinai,58,Nancy Smith,0
310,Gharbiya,76,Jeremy King,1
311,Suez,30,Stephanie Holmes,1
312,Matrouh,39,Kimberly Graham,1
313,South Sinai,25,Jared Guerra,1
314,Minya,67,Paige Huff,1
315,Menofia,31,Joshua Nelson,0
316,Dakahlia,47,Robert Hansen,1
317,Sohag,54,Elizabeth Ferrell,1
318,Minya,76,Elizabeth Hansen,1
319,Matrouh,40,Jeffrey Chan,1
320,Port Said,39,Paul Nichols,1
321,Beni Suef,74,Eric Montes,1
322,Fayoum,61,Gary Harding,1
323,South Sinai,43,Stephanie Gonzalez,0
324,Cairo,37,Noah Parrish,0
325,North Sinai,58,Danielle Tran,0
326,Matrouh,73,Rachael Herrera,0
327,Matrouh,75,Kimberly Morris,0
328,Qaliubiya,79,Michael George,1
329,Gharbiya,24,Caroline Fitzgerald,0
330,Dakahlia,52,Jeffrey Escobar,1
331,Suez,19,Derek Oliver,1
332,North Sinai,68,Kathryn Turner,1
333,Sohag,61,Jessica Porter,0
334,North Sinai,35,Justin Nelson,0
335,Qena,39,Tara Jennings,0
336,New Valley,37,Albert Brown,1
337,Dakahlia,72,Daniel Williams,0
338,Kafr Al sheikh,50,Wanda Simmons,0
339,Matrouh,47,Troy Hill,0
340,Gharbiya,63,Jennifer Taylor,0
341,Sohag,44,Jamie Guerra,0
342,Qena,69,Wendy Ortiz,1
343,Beni Suef,30,Samuel Ward,1
344,New Valley,27,Vanessa Jennings,1
345,South Sinai,41,Tara Garcia,1
346,Ismailia,80,Dana Contreras,0
347,Matrouh,78,Larry King,0
348,Kafr Al sheikh,35,Erika Williams,1
349,Menofia,52,Tina Stevens,1
350,Matrouh,50,Donna Barber,1
351,Beni Suef,34,Mr. William Phillips II,1
352,Cairo,63,Linda Wheeler,1
353,Menofia,33,Laura Hunter,1
354,Giza,19,Deborah Gray,0
355,Aswan,22,Jessica Stephens,0
356,New Valley,59,Daniel Edwards,1
357,Port Said,30,Mark Leon,0
358,Minya,48,Timothy Matthews,0
359,Matrouh,29,Marie Alexander,0
360,Alexandria,27,Jamie Lester,0
361,Port Said,73,Jeffrey Price,0
362,Beheira,62,Kayla Tate,0
363,Matrouh,75,Sean Coleman,0
364,Suez,57,Jimmy Sexton,0
365,Menofia,56,Michael Bryant,1
366,Fayoum,32,Christopher Baxter,1
367,Fayoum,32,Elijah Green,1
368,Beni Suef,36,Shannon Walker,0
369,Qena,75,Amber Tucker,0
370,Alexandria,43,Christine Brown,1
371,Aswan,46,David Miller,0
372,New Valley,65,Andrea Lawrence,1
373,Qaliubiya,26,Amber Martinez,1
374,Qaliubiya,27,James Wilson,1
375,Beni Suef,40,Tara Evans,1
376,South Sinai,20,Penny Brown,0
377,South Sinai,57,Bruce Bowen,1
378,Beni Suef,69,Paul Zimmerman,1
379,Assiut,40,Lauren Shannon,0
380,Alexandria,80,Paul Fletcher,0
381,Ismailia,78,Robert Young,0
382,Suez,30,Ronald Valenzuela,0
383,Aswan,42,Christopher Gonzalez,1
384,Gharbiya,63,Melissa Herman,1
385,Red Sea,76,Adam Garcia,0
386,Giza,64,Jonathan Silva,0
387,Red Sea,78,Phillip Black,1
388,Port Said,48,Kristen Cervantes,0
389,Gharbiya,21,Christopher Morgan,0
390,Cairo,60,Michael Hernandez,0
391,New Valley,26,William Walker,1
392,Sharkia,28,Brad Davenport,0
393,Beheira,37,Riley Davis,1
394,Beheira,57,Michelle Olsen,0
395,Beni Suef,38,Kevin Richard,1
396,Giza,58,Gregory Sanchez,1
397,Kafr Al sheikh,48,April Montgomery,1
398,South Sinai,46,Brittany Gonzalez,0
399,Beni Suef,36,Shawn Morse,1
400,Ismailia,41,Wendy Cole,1
401,Minya,29,Terry Brown,0
402,Ismailia,68,Kimberly Graham,1
403,Matrouh,64,Tyler Sullivan,1
404,Red Sea,61,Amanda Brown,1
405,Giza,50,Ruth Dunn,1
406,Beheira,80,Aaron Rodriguez,1
407,South Sinai,38,David Bailey,0
408,Assiut,45,Richard Perez,0
409,Alexandria,47,James Frank,0
410,Fayoum,28,Austin Best,0
411,Beni Suef,38,Robert Mitchell,0
412,Suez,56,Laura Vang,1
413,Qaliubiya,66,Chelsea Harvey,0
414,Alexandria,30,Richard Smith,0
415,Fayoum,53,Rhonda Pugh,0
416,Sharkia,22,Christopher Sullivan,0
417,Sohag,42,Michael Thompson,0
418,North Sinai,34,Pamela Brown,1
419,Beheira,37,Jason Combs,1
420,Assiut,22,Ivan Nelson,0
421,Gharbiya,72,Jessica Haley,1
422,Damietta,43,Vincent Lee,0
423,Sharkia,74,Max Huff,1
424,Damietta,46,Carol Williams,0
425,Fayoum,39,Morgan Cameron,1
426,Luxor,32,Amanda Spears,0
427,Qena,21,Anthony Logan,1
428,Giza,22,Dustin Mcknight,1
429,Sharkia,72,Krystal Torres,0
430,Red Sea,48,Tara Bradley,1
431,Giza,43,Rachel Townsend,1
432,Sharkia,31,Ann Blevins,0
433,Cairo,22,Timothy Spencer,0
434,Menofia,70,Brian Gordon,1
435,Alexandria,78,James Callahan,1
436,Luxor,68,Steven Nelson,0
437,North Sinai,49,Angela King,0
438,Beni Suef,35,Donna Kelly,0
439,Damietta,77,Lisa Jimenez,0
440,Sohag,80,Tammy Mcdaniel,1
441,Menofia,77,Tim Nelson,1
442,Alexandria,68,Karen Higgins,1
443,Fayoum,31,Mary Peterson,0
444,Sohag,31,Lisa Hunter,0
445,Menofia,48,Mason Mullins,1
446,Fayoum,70,Theresa Boyle,0
447,Gharbiya,47,Darin Hodge,0
448,Qaliubiya,56,Brian Holt,0
449,Qaliubiya,26,Luis Long,0
450,Matrouh,18,James Patterson,1
451,Menofia,21,William Nelson,0
452,Suez,79,Mark Davidson,1
453,Sharkia,45,Samantha Brown,0
454,Menofia,19,Kristin Jensen,1
455,Ismailia,78,Kathy Lee,0
456,Dakahlia,57,Amber Sanchez,0
457,Giza,34,Nicholas Medina DDS,0
458,Red Sea,33,Paula Torres,1
459,New Valley,71,Jennifer Ortiz,1
460,Assiut,61,Jessica Rios,0
461,South Sinai,45,Melissa Hunter,1
462,Ismailia,37,Crystal Washington DVM,1
463,Alexandria,33,Jamie Adams,1
464,Kafr Al sheikh,60,Eric Conner,0
465,North Sinai,48,Joshua Smith,0
466,Luxor,35,Barbara Wallace,1
467,Fayoum,35,Jeffrey Jensen,0
468,Qaliubiya,59,Maria Perez,1
469,Red Sea,47,Brian Medina,0
470,Menofia,60,James Stephens,1
471,Suez,79,Michelle Gomez,1
472,Aswan,40,Karina Ford,1
473,Minya,63,Norman Martin,1
474,Kafr Al sheikh,49,Laura Lynch,1
475,New Valley,28,Karen Rogers,1
476,North Sinai,69,Jessica Webb,0
477,Dakahlia,62,Mrs. Paige Bartlett,1
478,Gharbiya,73,Kristin Smith,0
479,Sohag,39,Casey Gardner,0
480,Ismailia,35,Krystal Davis,1
481,Luxor,22,Roger Sanders,0
482,Suez,41,Matthew Reyes,1
483,Fayoum,52,Jonathan Bolton,1
484,Giza,58,Tiffany Odonnell,0
485,North Sinai,74,Julia Wise,0
486,Giza,56,Kelly Graves,1
487,Red Sea,52,Christopher Daugherty,0
488,Sharkia,37,Stephanie Rodriguez,1
489,Giza,22,Patricia Gray,1
490,Sohag,26,James Morrow,0
491,South Sinai,28,Susan Ortiz,1
492,Sharkia,72,Brandi Vincent,0
493,Sohag,19,Leah Harmon,0
494,Damietta,38,Andrew Banks,0
495,Assiut,78,Angela Nichols,1
496,Beni Suef,22,Timothy Baker,1
497,Dakahlia,23,Bradley James,1
498,Ismailia,30,John Robinson,1
499,Cairo,34,Jessica Foster,0
500,Aswan,58,Kara Gonzalez,1
501,South Sinai,54,Linda Hart,1
502,Minya,46,Stephanie Johnson,0
503,Cairo,25,John Palmer,0
504,Alexandria,23,Ashley Martinez,0
505,Ismailia,29,Olivia Rodriguez,1
506,Beheira,68,Caroline Holt,1
507,Aswan,47,David Dennis,0
508,Matrouh,73,Allen Hill,1
509,Luxor,34,Jamie Allen,0
510,Ismailia,73,Christopher Jones,0
511,South Sinai,60,James Russo,1
512,Gharbiya,70,Alyssa Adams,0
513,Kafr Al sheikh,27,Marcus Clark,0
514,New Valley,65,Keith Smith,0
515,North Sinai,64,Darin Hodge,0
516,Sohag,26,Austin Parker,0
517,Red Sea,69,Margaret Park,1
518,Giza,57,Harry Miller,0
519,Red Sea,51,Mary Carpenter,1
520,Kafr Al sheikh,49,Charles Williams,0
521,Kafr Al sheikh,60,Shannon Pruitt,0
522,Gharbiya,36,Stephanie Smith DVM,0
523,Beni Suef,80,Lisa Campbell,0
524,Red Sea,51,Kelly Austin,1
525,South Sinai,45,Gerald Brown,1
526,Fayoum,71,Mark Davidson,0
527,Giza,42,Sandra Avila,0
528,New Valley,59,Michael Jordan,1
529,Sohag,33,David Beck,0
530,Sohag,59,Gabriela Hunter,0
531,South Sinai,62,Christina Kelly,1
532,Dakahlia,43,Michael Edwards,1
533,Giza,56,Brian Clarke,0
534,Luxor,54,Lindsey Schwartz,1
535,Aswan,46,Ronald Flores,0
536,Alexandria,29,Melissa Perez,1
537,Damietta,55,Jason Anderson,1
538,Qena,76,Rhonda Williams,1
539,Luxor,41,Candice Olsen,1
540,Menofia,78,Kimberly Duncan,1
541,Giza,66,Marcia Lee,1
542,Aswan,55,Ashley Bailey,1
543,North Sinai,49,Tracy Hernandez,1
544,Alexandria,27,Karen Ramos,1
545,New Valley,60,Kirk Miller,1
546,Beheira,70,Christopher Leon,0
547,Damietta,63,Glenn Lopez,0
548,Giza,21,Deborah Ramsey,1
549,South Sinai,77,Christina Klein,0
550,Aswan,38,Craig Lawson,0
551,South Sinai,61,Jeremiah Wheeler,0
552,Red Sea,50,Sean Cervantes,1
553,Alexandria,51,Francis Lawrence,0
554,Luxor,75,Vanessa Graham,0
555,Damietta,45,Kyle Krueger,0
556,Luxor,34,Taylor Noble,1
557,Beheira,37,Tracie Aguilar,1
558,Qena,64,Tiffany Hudson,0
559,Assiut,60,Eddie Parsons,1
560,Aswan,19,Jose Cox,1
561,Luxor,29,John Prince,1
562,Luxor,31,Carrie Conner,0
563,Sharkia,40,Barbara Gibbs,0
564,Minya,18,Edward Jones,1
565,Gharbiya,65,Wesley Campbell,1
566,Dakahlia,62,Nicole Wright,0
567,Luxor,46,Shannon Diaz,0
568,Qaliubiya,40,Emily Mcdonald,0
569,Sohag,56,Mr. Dean Dunn,1
570,Cairo,76,Rebecca Perez,1
571,Fayoum,79,Cynthia Alvarez,0
572,Alexandria,50,Jennifer Villarreal,1
573,Sohag,62,Teresa Huber,0
574,Qaliubiya,39,Adam Patrick,1
575,Port Said,74,Lauren Smith,0
576,North Sinai,32,Michael Willis,0
577,South Sinai,21,James Arias,0
578,Matrouh,63,Anne Wilson,0
579,Assiut,65,Paul Cochran,1
580,Beheira,73,Maurice Wallace,0
581,Gharbiya,32,Jonathan Robinson,1
582,Luxor,37,David Travis,0
583,Fayoum,24,Karen Garcia,1
584,Luxor,72,Wendy Walker,1
585,Sohag,67,Jennifer Williams,1
586,Damietta,53,Justin Brown,0
587,Gharbiya,27,Daniel Leach,1
588,Red Sea,58,Brittany Wilson,1
589,Gharbiya,66,Stephen Gray,0
590,Alexandria,31,Brian Cabrera,0
591,Ismailia,73,Matthew Anderson DDS,1
592,Giza,80,Crystal Peterson,1
593,Matrouh,74,Nicholas Reeves,0
594,Matrouh,24,Mitchell Johnson,1
595,Giza,58,Hannah Atkins,0
596,Minya,41,Jonathan Miller,0
597,North Sinai,28,Vincent Acosta,1
598,Dakahlia,31,Susan Morales,0
599,Kafr Al sheikh,54,Dale Mckinney,0
600,Luxor,18,Michael Bell MD,0
601,Qaliubiya,37,Hannah Price,1
602,Matrouh,55,Tyler Walter,0
603,Kafr Al sheikh,52,Michael Bradford,0
604,Beni Suef,61,Julie Simon,1
605,Qaliubiya,77,Rebecca Mitchell,1
606,Port Said,34,Alex Gibson,1
607,Kafr Al sheikh,61,Jeremy Hampton,1
608,Gharbiya,39,Kathryn Williams,1
609,Beni Suef,23,Charles Sanders,1
610,Fayoum,60,Megan Harrell,1
611,Gharbiya,43,Thomas Grant,1
612,Qaliubiya,79,Chad Turner,1
613,Damietta,46,Nancy Little,1
614,Luxor,59,Ariel Clark,1
615,Red Sea,57,Thomas Perez,1
616,New Valley,70,Matthew Frye,1
617,Qaliubiya,46,Mary Vargas,1
618,Damietta,51,Elizabeth Walker,0
619,South Sinai,35,Mrs. Haley Green,0
620,Qena,58,Ann Baker,1
621,Minya,42,Christina Arnold,1
622,Damietta,67,Brian Gordon,1
623,Suez,54,Melinda Haynes,1
624,Sharkia,39,Diana Meyer,1
625,Assiut,41,Kenneth Allen,0
626,Red Sea,77,Scott Martinez,0
627,Assiut,37,Michael Wilson,1
628,Ismailia,48,Maria Weber,0
629,Sharkia,33,Robert Bailey,1
630,Suez,44,Ryan Gonzalez,1
631,New Valley,61,Rachel Ellis,1
632,Fayoum,65,Diane Watts,0
633,Red Sea,36,Emily Page,1
634,Sharkia,77,Juan Murray,1
635,Assiut,37,Pamela King,0
636,Luxor,66,Marie Murphy,0
637,Port Said,20,Devin Kennedy,1
638,Menofia,46,Brian Carlson,1
639,Matrouh,80,Michelle Pearson,0
640,Kafr Al sheikh,61,Sarah Black,1
641,Damietta,36,Christine Sims,0
642,Aswan,22,Richard Lindsey,0
643,Qaliubiya,60,Heather Brooks,0
644,Cairo,18,Dr. Suzanne White,0
645,Matrouh,72,Michael Koch,1
646,Sohag,44,Gabriella Stephens,1
647,Luxor,31,Ross Jones,1
648,Fayoum,77,Darius Cabrera MD,1
649,Gharbiya,29,Mark Foster,1
650,Beheira,37,Christopher Jones,0
651,Kafr Al sheikh,63,Nicholas Collins,1
652,Luxor,29,Robert Gibson,0
653,Minya,18,Joshua Carlson,1
654,Qena,61,Rachel Tyler,1
655,Dakahlia,65,Brent Gamble,0
656,Damietta,62,Sarah Stein,1
657,Red Sea,28,Caroline Henry,0
658,Red Sea,29,Jessica Stephens,1
659,Assiut,75,Erin Kirby,1
660,Beheira,48,Lisa Woods,0
661,Red Sea,76,Alexandra Wolf,0
662,Fayoum,62,Stephanie Brown,1
663,Beheira,42,Austin Yang,0
664,Kafr Al sheikh,44,Stephanie Chavez,1
665,Sohag,73,Amy Hughes,0
666,Kafr Al sheikh,67,Alan Gilbert,0
667,Luxor,35,Kelly Potter,1
668,Matrouh,22,Breanna Williams,1
669,Qaliubiya,60,Thomas Figueroa Jr.,1
670,Menofia,53,Emily Erickson,0
671,Red Sea,38,James Lewis,1
672,Luxor,38,Lisa Silva,1
673,Ismailia,68,Jessica Hughes,1
674,Aswan,39,Juan Gonzalez,1
675,North Sinai,39,Anthony Mccarthy,1
676,Suez,67,Tina Johnson,0
677,Port Said,40,Jessica Gill,1
678,Alexandria,40,Adam Winters,1
679,Sharkia,27,Holly Green,1
680,Ismailia,61,Tabitha Smith,0
681,Giza,41,Catherine Johns,0
682,Qaliubiya,20,Laura Smith,0
683,Luxor,36,Sharon Cobb,1
684,Port Said,24,David Mclaughlin,0
685,Giza,69,Kelly Miles,0
686,Red Sea,48,Brian Nixon,1
687,Matrouh,52,Brandy Simon,1
688,Suez,75,Mr. Eric Green,1
689,New Valley,42,Emily Villegas,1
690,Port Said,31,Donna Meza,1
691,Sharkia,32,Sarah Cisneros,0
692,Matrouh,58,Michael Armstrong,0
